Date,product_code,price,rank,rating,reviews,Qty
2020-01-15,0000,13.49,49343.25,,,1
2020-01-16,0000,12.99,61650.25,,,0
2020-01-17,0000,12.99,59805.0,,,0
2020-01-18,0000,12.99,69060.33333333333,,,0
2020-01-19,0000,12.99,109017.75,,,0
2020-01-20,0000,12.99,60183.333333333336,,,0
2020-01-21,0000,12.99,64411.333333333336,,,0
2020-01-22,0000,12.99,44856.0,,,0
2020-01-23,0000,12.99,46943.333333333336,,,0
2020-01-24,0000,12.99,77459.33333333333,,1.0,0
2020-01-25,0000,12.99,86682.0,5.0,1.0,0
2020-01-26,0000,12.99,49232.0,5.0,1.5,0
2020-01-27,0000,12.99,32028.0,5.0,2.0,0
2020-01-28,0000,12.99,49538.0,5.0,2.0,0
2020-01-29,0000,12.99,34592.333333333336,5.0,2.0,0
2020-01-30,0000,12.99,17083.0,5.0,2.0,0
2020-01-31,0000,12.99,27733.0,5.0,3.0,0
2020-02-01,0000,12.99,36906.0,5.0,3.0,0
2020-02-02,0000,12.99,35007.0,5.0,4.0,0
2020-02-03,0000,12.99,20615.5,4.9,5.5,0
2020-02-03,0001,22.99,34130.5,3.7,597.0,1
2020-02-04,0001,22.99,23166.0,3.7,630.0,0
2020-02-04,0000,12.99,24074.0,4.8,6.0,0
2020-02-04,0002,38.0,35394.57142857143,5.0,12.0,1
2020-02-05,0002,38.0,31805.666666666668,5.0,12.0,0
2020-02-05,0001,22.99,34553.0,3.7,630.0,0
2020-02-05,0000,12.99,25821.0,4.8,6.0,0
2020-02-06,0002,38.0,48573.0,5.0,12.0,0
2020-02-06,0001,22.99,55296.333333333336,3.8333333333333335,235.33333333333331,0
2020-02-06,0000,12.99,28883.75,4.8,6.0,0
2020-02-07,0002,38.0,61773.0,5.0,12.0,0
2020-02-07,0001,22.99,30897.0,3.9,38.0,0
2020-02-07,0000,,,,,0
2020-02-08,0002,38.0,57214.66666666666,5.0,12.0,0
2020-02-08,0001,22.99,34632.8,3.9,38.0,0
2020-02-08,0000,12.99,19855.75,4.8,6.25,0
2020-02-09,0002,38.0,46383.875,5.0,13.75,0
2020-02-09,0001,22.99,47147.5,3.9,38.0,0
2020-02-09,0000,12.99,20687.33333333333,4.8,7.0,0
2020-02-10,0001,22.99,30251.0,3.8,340.5,0
2020-02-10,0002,38.0,83494.33333333333,5.0,14.0,0
2020-02-10,0000,12.99,18999.0,4.8,7.666666666666667,0
2020-02-11,0001,22.99,29188.0,3.7,643.0,0
2020-02-11,0002,38.0,82509.0,5.0,14.333333333333334,0
2020-02-11,0000,12.99,18258.5,4.8,8.0,0
2020-02-12,0002,38.0,64907.0,5.0,15.0,0
2020-02-12,0001,22.99,23429.5,3.7,644.0,0
